AnimalId,DOB,Sex,BehaviorMom,Sire,Dam 
2Y9,6/1/2017,f,7N7,6J3,7N7
2Z,3/4/1967,m,S017,,
2Z0,9/13/2016,F,0B4,3I5,0B4
2Z1,6/10/2017,m,82Z,0E8,82Z
2Z2,8/28/2016,f,3I4,7H0,3I4
2Z3,7/12/2016,f,9C7,4H2,9C7
2Z4,6/27/2016,m,3L9,8H2,3L9
2Z5,7/13/2017,f,8M6,0E8,8M6
2Z6,8/27/2016,f,4H3,4H2,4H3
2Z7,7/5/2017,m,51V,6F1,51V
2Z8,7/1/2017,m,0Q5,2M4,0Q5
2Z9,7/18/2017,m,9L9,5J3,9L9
300,1/11/1970,f,XN,,
301,2/7/1970,f,YB,,
303,4/1/1969,m,OT,,
304,3/1/1969,m,WX,,
305,3/2/1970,f,W,,
306,4/12/1970,f,JI,,
307,4/19/1970,f,E3,,
308,4/12/1970,f,M7,,
309,2/15/1970,m,004,,
30A,11/28/1991,f,893,,
30B,6/30/1993,m,J96,,
30C,1/21/1994,m,953,J19,953
30D,12/24/1994,f,H02,I37,H02
30E,1/9/1995,f,B04,O81,B04
30F,12/10/1995,f,T84,O34,T84
30G,1/7/1997,m,Z75,X79,Z75
30H,1/3/1997,m,L97,I64,L97
30I,1/17/1998,m,94B,G09,94B
30J,3/8/1998,f,J41,S56,J41
30K,1/9/1999,m,04E,G09,04E
30L,1/4/2000,m,L66,Z00,L66
30N,11/27/1999,m,79C,51A,79C
30O,12/2/1999,f,X17,Z06,X17
30P,12/26/2000,m,Z97,56C,Z97
30R,12/3/2001,m,V37,65F,V37
30S,5/10/2002,m,14E,T54,14E
30T,12/27/2002,m,62H,60E,62H
30V,10/22/2003,m,70K,25I,70K
30Z,10/16/2003,m,V65,85B,V65
310,4/1/1969,f,ZM,,
311,2/2/1970,f,H6,,
312,3/19/1970,f,P5,,
313,3/15/1970,m,B9,,
314,1/23/1970,m,H9,,
315,2/24/1970,f,N5,,
316,5/4/1970,f,H7,,
317,1/25/1970,f,WE,,
318,1/30/1970,m,AA,,
319,1/22/1970,m,XQ,,
31A,1/10/1992,f,H02,E93,H02
31B,6/7/1993,f,E78,,
31C,11/27/1993,m,O33,G21,O33
31D,3/26/1995,f,L29,I78,L29
31E,1/8/1996,m,X78,O34,X78
31F,2/5/1996,f,I65,G37,I65
31G,2/7/1997,f,X67,Z76,X67
31H,1/31/1997,f,T83,N46,T83
31I,1/23/1998,m,G68,761,G68
31J,12/26/1997,m,D69,X94,D69
31K,11/30/1998,m,E66,V79,E66
31L,1/4/2000,f,L49,X57,L49
31N,11/25/1999,f,65A,V79,65A
31O,1/2/2001,m,K11,88C,K11
31P,12/17/2000,m,64A,51A,64A
31R,11/17/2001,f,X37,03D,X37
31S,12/5/2001,m,03H,79B,03H
31T,10/25/2002,f,20F,78B,20F
31V,11/4/2003,f,30D,O15,30D
31Z,11/1/2003,f,30O,61G,30O
320,3/8/1970,f,031,,
321,4/6/1970,m,BN,,
322,2/26/1970,m,DR,,
323,5/15/1970,m,GK,,
324,1/25/1970,f,GY,,
325,3/14/1970,f,UI,,
326,3/31/1970,f,S017,,
327,2/22/1970,f,TN,,
328,2/26/1970,f,D8,,
329,2/20/1970,f,131,,
32A,1/22/1993,f,D92,I37,D92
32B,1/8/1993,m,H64,K85,H64
32C,1/25/1994,m,J01,F26,J01
32D,12/31/1994,m,X33,B09,X33
32E,1/31/1996,m,V44,J19,V44
32F,1/17/1996,f,K11,D71,K11
32G,2/18/1997,f,T98,X77,
32H,3/29/1997,f,B10,T53,B10
32I,1/9/1998,f,32A,V45,32A
32J,3/22/1998,m,I50,B09,I50
32K,12/8/1998,m,Z51,T57,Z51
32L,3/25/2000,m,29B,V79,29B
32N,12/2/1999,f,82C,32C,82C
32O,12/5/2000,f,N86,45A,N86
32P,11/21/2000,f,L48,G62,L48
32R,11/8/2001,m,87F,33A,87F
32S,11/12/2001,f,V65,45A,V65
32T,11/21/2002,f,68C,03G,68C
32V,11/7/2003,m,V60,37C,V60
32Z,2/14/2004,m,J91,X81,J91
330,3/29/1970,m,E7,,
331,3/6/1970,f,OP,,
332,3/12/1970,f,AS,,
333,1/26/1970,f,JR,,
334,2/22/1970,m,UG,,
335,1/25/1970,m,OC,,
336,3/10/1970,f,XP,,
337,2/16/1970,m,ZQ,,
338,2/21/1970,f,106,,
339,2/28/1970,m,YI,,
33A,1/15/1993,m,D75,D71,D75
33B,1/21/1993,m,G80,I78,G80
33C,1/15/1994,f,K81,J19,K81
33D,1/24/1995,f,O36,E05,O36
33E,12/28/1995,f,T94,K85,T94
33F,12/30/1995,f,K07,X48,K07
33G,12/30/1996,f,X55,X27,X55
33H,1/17/1997,f,E04,O49,E04
33I,1/11/1998,m,47A,85A,47A
33J,12/2/1997,m,X51,X57,X51
33K,12/24/1998,m,R64,X94,R64
33L,1/12/2000,f,O43,V79,O43
33N,1/13/2000,m,99A,E05,99A
33O,11/29/2000,m,X86,R70,X86
33P,12/26/2000,m,L49,Z00,L49
33R,11/26/2001,f,02A,Z71,02A
33S,11/27/2001,m,X33,61B,X33
33T,12/7/2002,m,89K,80B,89K
33V,1/7/2004,f,50K,31I,50K
33Z,12/11/2003,f,Z15,29F,Z15
340,3/27/1970,m,M8,,
341,2/13/1970,f,YM,,
342,2/19/1970,f,J1,,
343,3/4/1970,f,F9,,
344,3/4/1970,m,LU,,
345,3/13/1970,m,OE,,
346,3/21/1970,m,XC,,
347,2/28/1970,f,WD,,
348,3/3/1970,f,CS,,
349,5/13/1970,m,G8,,
34A,4/10/1993,f,897,E05,897
34B,12/14/1992,f,L80,H87,L80
34C,1/14/1994,m,S73,K82,S73
34D,1/10/1995,f,X78,O28,X78
34E,12/22/1995,f,S54,I78,S54
34F,1/3/1996,m,B64,D71,B64
34G,2/8/1997,m,94A,C61,
34H,1/12/1997,m,J71,V84,J71
34I,12/26/1997,f,Z74,23A,Z74
34J,1/4/1998,m,89C,V79,89C
34K,12/13/1998,f,S59,X94,S59
34L,1/8/2000,m,78C,Z01,78C
34N,12/28/1999,f,J92,R70,J92
34O,12/4/2000,m,73C,Z46,73C
34P,12/26/2000,m,79C,51A,79C
34R,10/23/2001,m,G68,Z71,G68
34S,12/27/2001,m,46F,X52,46F
34T,11/29/2002,f,74B,X48,74B
34V,12/16/2003,f,76I,18I,76I
34Z,2/27/2004,f,28G,65F,28G
350,4/1/1969,f,FC,,
351,2/17/1970,m,118,,
352,3/3/1970,m,S013,,
353,2/27/1970,f,TA,,
354,2/22/1970,f,TW,,
355,4/3/1970,m,GS,,
356,4/13/1970,m,M4,,
357,3/9/1970,m,TI,,
358,3/14/1970,m,TO,,
359,3/17/1969,f,AC,,
35A,12/14/1992,f,H95,,
35B,1/2/1993,f,971,E05,971
35C,1/18/1994,m,V44,,V44
35D,12/18/1994,m,K28,S76,K28
35E,3/7/1996,m,S96,I78,S96
35F,1/6/1996,f,O33,K85,O33
35G,12/27/1996,f,S55,T88,S55
35H,1/8/1997,f,N37,T53,N37
35I,4/22/1998,f,X33,T53,X33
35J,4/22/1998,f,Z53,K85,Z53
35K,1/19/1999,m,F72,51A,F72
35L,1/30/2000,m,N13,Z19,N13
35N,1/1/2000,f,N12,H87,N12
35O,12/31/2000,f,X20,R70,X20
35P,1/9/2001,f,81B,79B,81B
35R,12/11/2001,f,28A,O15,28A
35S,1/20/2002,f,J92,79B,J92
35T,3/9/2003,m,28J,72H,28J
35V,1/22/2004,m,N40,25I,N40
35Z,12/26/2003,f,Z08,60E,Z08
360,2/16/1970,m,LI,,
361,2/12/1970,f,BY,,
362,3/4/1970,f,XK,,
363,2/9/1970,m,JM,,
364,2/15/1970,m,R9,,
365,2/25/1970,f,102,,
366,5/18/1970,f,E8,,
367,3/5/1970,f,037,,
368,3/2/1970,f,LW,,
369,3/4/1969,m,UG,,
36A,1/21/1993,f,S57,,
36B,12/22/1992,f,K79,,K79
36C,12/31/1993,m,L19,D78,L19
36D,1/22/1995,f,N16,A92,N16
36E,12/7/1995,m,X34,K85,X34
36F,12/21/1995,m,O38,J19,O38
36G,12/26/1996,m,H64,S78,H64
36H,1/3/1997,f,O36,S78,O36
36I,1/26/1998,m,95A,761,95A
36J,12/26/1997,f,89A,X58,89A
36K,1/12/1999,m,K07,K32,K07
36L,3/7/2000,f,N05,O08,N05
36N,12/18/1999,f,82A,T29,82A
36O,12/8/2000,f,V80,90A,V80
36P,1/11/2001,m,T27,79B,T27
36R,12/29/2001,m,54B,V79,54B
36S,12/5/2001,m,Z11,Z10,Z11
36T,1/7/2003,m,Z53,03G,Z53
36V,9/27/2003,m,35B,62D,35B
36Z,1/12/2004,f,00J,79H,00J
370,2/9/1970,f,GI,,
371,3/3/1970,m,L5,,
372,3/24/1970,f,AH,,
373,3/20/1970,m,FH,,
374,3/6/1970,f,128,,
375,1/23/1970,f,XJ,,
376,3/21/1969,m,OS,,
377,5/24/1970,m,N9,,
378,3/6/1970,f,X5,,
379,3/9/1970,f,OG,,
37A,1/5/1993,f,O42,D11,O42
37B,1/9/1993,f,N37,I37,N37
37C,1/29/1994,m,K80,S18,K80
37D,12/30/1994,f,L84,G07,L84
37E,1/30/1996,f,H45,J19,H45
37F,12/19/1995,f,X55,F46,X55
37G,1/16/1997,m,X78,L83,X78
37H,1/4/1997,f,40A,X79,40A
37I,2/20/1998,f,02A,D52,02A
37J,12/8/1997,f,T94,D52,T94
37K,12/27/1998,f,Z11,H87,Z11
37L,1/3/2000,f,R74,Z46,R74
37N,2/6/2000,m,24B,F46,24B
37O,12/30/2000,m,N12,K32,N12
37P,12/28/2000,f,K28,J81,K28
37R,11/15/2001,f,10C,33A,10C
37S,12/25/2001,m,X87,D71,X87
37T,12/3/2002,f,38E,28E,38E
37V,11/15/2003,f,19A,90B,19A
37Z,2/3/2004,f,X28,31I,X28
380,2/20/1970,m,H5,,
381,3/18/1970,m,WX,,
382,2/4/1970,f,DL,,
383,2/6/1970,m,UW,,
384,3/11/1970,m,HT,,
385,3/19/1970,m,JE,,
386,2/13/1970,f,FF,,
387,4/9/1969,m,081,,
388,5/29/1970,f,XW,,
389,2/20/1970,m,KZ,,
38A,12/20/1992,f,I44,,
38B,1/23/1993,m,C12,I37,C12
38C,12/19/1993,m,O36,D71,O36
38D,1/17/1995,f,K07,,K07
38E,1/7/1996,f,D07,A87,D07
38F,12/8/1995,f,Z74,E93,Z74
38G,1/10/1997,f,Z07,R70,Z07
38H,1/12/1997,m,L37,L83,L37
38I,1/5/1998,m,X55,X16,X55
38J,3/12/1998,f,Z08,V79,Z08
38K,12/12/1998,f,56A,23A,56A
38L,1/11/2000,m,G43,77A,G43
38N,12/3/1999,f,56A,E54,56A
38O,12/3/2000,f,91E,46D,91E
38P,11/20/2000,f,L19,J21,L19
38R,11/24/2001,m,K84,Z71,K84
38S,11/21/2001,f,O52,43A,O52
38T,12/8/2002,f,06A,49A,06A
38V,12/1/2003,f,78C,45J,78C
38Z,10/18/2003,f,I56,57D,I56
390,2/12/1969,f,R,,
391,3/5/1969,m,OE,,
392,3/13/1970,f,WP,,
393,4/21/1970,m,OR,,
394,1/19/1970,f,HJ,,
395,3/13/1970,m,U6,,
396,2/28/1970,f,007,,
397,2/20/1969,f,FB,,
398,3/24/1969,f,ED,,
399,3/29/1970,m,K6,,
39A,11/22/1992,f,B64,D78,B64
39B,2/25/1993,f,K00,,K00
39C,3/2/1994,m,G11,J86,G11
39D,2/6/1995,f,L80,O28,L80
39E,3/30/1996,m,D92,K85,D92
39F,1/18/1996,f,X29,I78,X29
39G,12/29/1996,m,K07,X94,K07
39H,1/16/1997,m,G80,L34,G80
39I,2/13/1998,f,J66,K85,J66
39J,1/4/1998,f,T12,T57,T12
39K,12/3/1998,f,B75,J21,B75
39L,1/30/2000,m,D69,56C,D69
39N,1/29/2000,f,H74,D71,H74
39O,11/27/2000,m,X51,02C,X51
39P,2/4/2001,m,30F,77A,30F
39R,10/23/2001,m,X83,33A,X83
39S,5/4/2002,f,20C,Z90,20C
39T,11/10/2002,f,91K,Z71,91K
39V,11/11/2003,m,45F,90B,45F
39Z,10/26/2003,f,22H,25B,V78
3A,3/9/1967,m,YR,,
3A0,10/28/2004,f,43F,10D,43F
3A1,11/13/2004,f,K81,70D,K81
3A2,12/5/2004,f,34B,94H,34B
3A3,10/21/2004,m,35F,Z71,35F
3A4,11/6/2004,f,78C,78B,78C
3A5,10/1/2004,m,33C,57F,33C
3A6,11/7/2004,m,07L,48G,07L
3A7,11/11/2004,f,O33,Z71,O33
3A8,11/28/2004,f,77G,V92,77G
3A9,11/21/2004,f,81B,96B,81B
3B,4/27/1967,m,UB,,
3B0,11/16/2005,f,T95,44H,T95
3B1,11/3/2005,f,X91,03D,X91
3B2,11/4/2005,f,68C,83L,68C
3B3,12/1/2005,f,S96,30G,
3B4,10/28/2005,f,89K,50G,89K
3B5,10/25/2005,f,59F,60H,59F
3B6,11/25/2005,f,X37,25I,X37
3B7,11/3/2005,f,Z99,84E,Z99
3B8,12/24/2005,f,89L,12O,89L
3B9,10/24/2005,m,15O,50G,15O
3C,3/24/1967,m,LU,,
3C0,12/23/2005,f,20S,42F,20S
3C1,1/19/2006,m,42A,09K,42A
3C2,11/29/2005,f,91A,25I,91A
3C3,10/30/2005,f,43I,65F,43I
3C4,11/2/2005,m,62H,08N,62H
3C5,1/15/2006,f,34N,T82,34N
3C6,1/7/2006,m,54D,64K,54D
3C7,11/19/2005,f,73B,20J,73B
3C8,1/1/2006,m,64A,65F,64A
3C9,10/21/2005,m,35N,99L,35N
3D,2/21/1967,m,118,,
3D0,2/26/2007,f,O35,14A,O35
3D1,10/22/2006,f,30F,84E,30F
3D2,10/19/2006,m,50K,99L,50K
3D3,10/8/2006,m,N16,43H,N16
3D4,10/16/2006,f,51R,26P,51R
3D5,11/14/2006,f,31L,44E,31L
3D6,11/21/2006,m,15E,54F,15E
3D7,12/30/2006,m,20C,44E,20C
3D8,12/5/2006,f,25N,X48,25N
3D9,1/5/2007,f,T03,51A,T03
3E,3/10/1967,f,TI,,
3E0,10/24/2006,m,22H,15N,22H
3E1,12/1/2006,m,90S,08O,90S
3E2,10/16/2006,f,04N,48L,04N
3E3,1/10/2007,f,15C,25I,15C
3E4,12/10/2006,m,30D,50G,30D
3E5,12/26/2006,f,N12,10D,N12
3E6,1/13/2007,m,28G,09K,28G
3E7,11/10/2006,f,Z11,07D,Z11
3E8,1/16/2007,f,14E,17L,14E
3E9,11/3/2006,m,R65,78B,R65
3F,4/2/1967,f,131,,
3F0,11/14/2007,m,02A,83L,02A
3F1,11/8/2007,f,88I,30L,88I
3F2,11/18/2007,m,29B,07D,29B
3F3,9/22/2007,m,38E,99L,38E
3F4,12/22/2007,f,11L,13I,11L
3F5,12/8/2007,f,48J,56K,48J
3F6,10/24/2007,f,03H,79H,02G
3F7,10/1/2007,f,75J,09L,75J
3F8,10/20/2007,f,03H,43R,03H
3F9,11/13/2007,m,19A,56K,19A
3G,2/10/1967,m,UR,,
3G0,10/3/2008,f,75L,03N,75L
3G1,10/21/2008,f,55J,69I,55J
3G2,8/26/2008,f,Z82,16N,Z82
3G3,9/12/2008,f,44V,58P,44V
3G4,10/16/2008,m,V80,65F,V80
3G5,3/4/2009,m,64D,07D,64D
3G6,10/28/2008,m,19J,06O,19J
3G7,9/22/2008,m,56A,25L,56A
3G8,10/26/2008,m,34N,91S,34N
3G9,10/9/2008,m,35O,68N,35O
3H,3/27/1967,m,116,,
3H0,11/17/2008,f,1B0,,1B0
3H1,9/30/2008,f,20C,30S,20C
3H2,9/16/2008,m,99J,89N,99J
3H3,12/13/2008,m,T83,12O,T83
3H4,10/18/2008,f,4A5,22O,4A5
3H5,9/22/2008,f,15O,44H,15O
3H6,10/12/2008,f,95V,91P,95V
3H7,10/10/2008,m,28I,44H,28I
3H8,10/25/2008,m,89K,83L,89K
3H9,11/2/2008,m,31V,50T,31V
3I,5/8/1967,m,IS,,
3I0,10/25/2009,m,1B4,20J,1B4
3I1,11/1/2009,m,5A0,20J,5A0
3I2,11/1/2009,m,4A0,11Z,4A0
3I3,10/18/2009,m,69O,50B,69O
3I4,11/8/2009,f,2B4,20J,2B4
3I5,10/3/2009,m,14Z,17K,14Z
3I6,10/3/2009,m,61A,23T,61A
3I7,9/16/2009,f,10C,58R,10C
3I8,12/18/2009,m,4A3,50T,4A3
3I9,10/16/2009,m,6A4,50T,6A4
3J,4/9/1967,f,S,,
3J0,11/7/2009,f,77D,44T,77D
3J1,10/21/2009,m,28I,58R,28I
3J2,10/20/2009,m,60V,91P,60V
3J3,9/13/2009,f,8A3,17K,8A3
3J4,9/28/2009,f,7A9,10R,7A9
3J5,10/11/2009,f,76L,44T,76L
3J6,10/10/2009,m,98J,41N,98J
3J7,11/6/2009,m,47Z,72O,47Z
3J8,11/8/2009,m,X60,19T,X60
3J9,10/31/2009,f,07L,42F,07L
3K,3/6/1967,f,DR,,
3K0,11/8/2010,m,50S,30L,50S
3K1,10/14/2010,m,14L,36S,14L
3K2,10/19/2010,f,2A2,30L,2A2
3K3,9/30/2010,m,52P,04I,52P
3K4,10/2/2010,m,28N,43P,28N
3K5,10/12/2010,m,60P,30L,60P
3K6,10/6/2010,m,0A9,0B8,0A9
3K7,9/20/2010,m,2A7,46Z,2A7
3K8,10/24/2010,f,10S,43P,10S
3K9,12/6/2010,m,33V,17K,33V
3L,3/16/1967,f,XP,,
3L0,10/15/2010,m,43F,33T,5C0
3L1,10/2/2010,m,92D,33T,92D
3L2,10/1/2010,m,21H,27N,21H
3L3,9/12/2010,m,07A,76Z,07A
3L4,10/4/2010,m,48J,6A9,48J
3L5,12/4/2010,m,35O,02R,35O
3L6,10/8/2010,m,20S,02R,20S
3L7,9/13/2010,m,5B4,46Z,5B4
3L8,11/22/2010,m,55A,02R,55A
3L9,9/11/2010,f,5A1,53N,5A1
3M0,10/3/2011,f,0E2,60E,0E2
3M1,9/2/2011,f,60R,8A9,60R
3M2,8/11/2011,m,24V,44T,24V
3M3,9/26/2011,m,4F1,17L,4F1
3M4,10/7/2011,f,89K,11Z,89K
3M5,11/28/2011,f,90V,11Z,90V
3M6,9/6/2011,f,21H,17T,21H
3M7,9/24/2011,f,4A5,11Z,4A5
3M8,9/10/2011,m,8A5,44T,8A5
3M9,10/18/2011,m,2F0,94O,2F0
3N,3/4/1967,f,097,,
3N0,10/6/2011,m,4F8,3A6,4F8
3N1,10/15/2011,f,69O,44H,69O
3N2,9/15/2011,m,55R,30V,55R
3N3,9/14/2011,f,48V,9A9,48V
3N4,10/11/2011,f,3A9,02R,3A9
3N5,9/24/2011,m,36O,02R,36O
3N6,9/14/2011,m,6C5,8A9,6C5
3N7,8/25/2011,m,1A4,30V,1A4
3N8,9/13/2011,f,73C,8A7,4C1
3N9,10/16/2011,m,20S,02R,20S
3O0,9/24/2012,f,77D,94Z,77D
3O1,8/17/2012,f,0B5,5B2,0B5
3O2,8/21/2012,f,3H4,94Z,3H4
3O3,9/18/2012,m,93O,16R,93O
3O4,8/5/2012,f,49V,97Z,49V
3O5,10/1/2012,f,5C4,5B2,5C4
3O6,9/7/2012,m,48N,3E9,48N
3O7,9/23/2012,m,0B6,69I,0B6
3O8,9/8/2012,m,0A2,5B2,0A2
3O9,9/28/2012,m,6D8,31S,6D8
3P,4/26/1967,m,AA,,
3P0,9/10/2012,m,0A9,35V,0A9
3P1,10/1/2012,m,80S,9A9,80S
3P2,10/10/2012,m,2E8,2C9,2E8
3P3,9/14/2012,m,7A8,44T,7A8
3P4,9/26/2012,m,65Z,30V,65Z
3P5,10/5/2012,m,3F7,6B8,3F7
3P6,9/13/2012,m,7A6,11Z,7A6
3P7,8/15/2012,f,62S,73Z,62S
3P8,8/19/2012,f,8E8,7D7,8E8
3P9,9/4/2012,m,74S,6B2,74S
3Q,3/23/1967,f,YI,,
3Q0,11/25/2013,f,31V,44T,31V
3Q1,9/27/2013,m,3H4,8D8,3H4
3Q2,9/11/2013,f,2G8,25L,2G8
3Q3,8/19/2013,f,3F5,6F1,3F5
3Q4,8/27/2013,f,8A3,25L,8A3
3Q5,10/27/2013,m,55R,43N,55R
3Q6,9/1/2013,m,0B4,3A6,0B4
3Q7,10/31/2013,m,95V,94Z,95V
3Q8,9/1/2013,f,0E2,8D8,0E2
3Q9,9/2/2013,m,76J,27N,76J
3R,2/10/1967,f,IW,,
3R0,8/17/2013,f,24V,51J,24V
3R1,8/24/2013,m,8E2,76Z,8E2
3R2,8/1/2013,f,2F0,1D5,2F0
3R3,8/13/2013,f,77S,43N,77S
3R4,7/27/2013,f,22H,19T,22H
3R5,9/20/2013,f,2C7,1B7,2C7
3R6,8/28/2013,m,44V,2D0,44V
3R7,8/19/2013,m,6H6,9C6,6H6
3R8,12/7/2013,m,87F,44T,87F
3R9,9/13/2013,f,25P,44H,25P
3S,3/13/1967,f,YM,,
3S0,7/11/2013,f,2H3,04Z,2H3
3S1,7/26/2013,f,7J8,43V,7J8
3S2,9/6/2013,f,87K,8A7,87K
3S3,10/1/2013,f,68V,6B2,68V
3S4,8/27/2013,f,0C6,4C6,0C6
3S5,9/3/2013,f,36Z,3E4,36Z
3S6,8/22/2013,f,34N,43P,34N
3S7,8/20/2013,m,55V,56K,55V
3S8,8/26/2013,m,64P,5E1,64P
3S9,8/14/2013,m,00J,6B2,00J
3T,4/4/1967,m,114,,
3T0,7/7/2014,m,5F7,8D8,5F7
3T1,7/6/2014,m,4F1,5D1,4F1
3T2,8/23/2014,m,8I6,2C6,8I6
3T3,8/12/2014,f,24V,5B2,24V
3T4,7/12/2014,m,4C1,8B5,4C1
3T5,9/12/2014,f,82V,0G1,82V
3T6,8/22/2014,m,8H7,2C9,8H7
3T7,8/15/2014,f,4H3,46Z,4H3
3T8,8/11/2014,m,82Z,5D1,82Z
3T9,7/18/2014,f,9C5,04Z,9C5
3U,2/6/1967,m,024,,
3U0,9/23/2014,f,1I6,1C2,1I6
3U1,8/22/2014,m,52Z,61R,52Z
3U2,9/27/2014,m,5C6,1C2,5C6
3U3,8/22/2014,m,0M3,0H8,0M3
3U4,8/15/2014,f,3D9,1A0,3D9
3U5,8/12/2014,f,2E4,1A0,2E4
3U6,9/27/2014,m,1B0,8A7,1B0
3U7,9/6/2014,m,81E,4C3,81E
3U8,9/27/2014,f,26V,0E8,26V
3U9,8/15/2014,m,1E2,0C7,1E2
3V,2/9/1967,m,LN,,
3V0,9/20/2015,m,2B1,97V,2B1
3V1,8/10/2015,f,9L6,5H1,9L6
3V2,10/3/2015,m,98V,94Z,98V
3V3,9/6/2015,m,85V,3I3,85V
3V4,9/2/2015,f,0L7,43P,0L7
3V5,7/24/2015,f,8M6,43P,8M6
3V6,8/8/2015,f,74K,3B9,74K
3V7,7/7/2015,m,89K,3I5,89K
3V8,9/24/2015,m,82Z,5H1,82Z
3V9,8/20/2015,m,6M9,5D1,6M9
3W0,9/22/2015,m,4C1,6E6,4C1
3W1,9/7/2015,m,0A4,6E6,0A4
3W2,7/27/2015,m,8B0,2F8,8B0
3W3,9/23/2015,m,7B7,42T,7B7
3W4,8/28/2015,f,1H6,6E6,1H6
3W5,7/18/2015,m,0G5,2F8,0G5
3W6,8/12/2015,f,0C6,1H9,0C6
3W7,9/25/2015,f,61J,3E4,61J
3W8,8/18/2015,f,83Z,46Z,83Z
3W9,8/24/2015,m,5M5,0J0,5M5
3X,1/24/1967,f,EW,,
3X0,7/9/2015,f,4C2,6I9,4C2
3X1,7/19/2015,f,7E0,2D5,7E0
3X2,7/20/2015,f,6C5,1H9,6C5
3X3,7/15/2015,m,4D8,76Z,4D8
3X4,8/22/2015,m,6L1,9I2,6L1
3X5,7/22/2015,m,6K6,5J5,6K6
3X6,7/7/2015,m,9H9,2D0,9H9
3X7,7/20/2015,m,8L3,94Z,8L3
3X8,8/30/2015,f,14E,8A7,14E
3X9,10/20/2015,f,0F0,51A,0F0
3Y0,7/15/2016,f,9H7,8C0,9H7
3Y1,6/17/2017,m,5K3,2M5,5K3
3Y2,7/26/2016,f,8J6,9D1,8J6
3Y3,8/4/2017,f,3E2,0L1,3E2
3Y4,7/8/2017,f,5C0,2I4,5C0
3Y5,6/28/2017,f,8P3,3L1,8P3
3Y6,8/7/2017,m,8N7,9E5,8N7
3Y7,8/8/2016,f,9G3,44T,9G3
3Y8,7/27/2016,m,4C2,5G3,4C2
3Y9,8/24/2016,f,0A9,4K3,0A9
3Z,3/17/1967,m,DT,,
3Z0,7/8/2017,m,2C3,73Z,2C3
3Z1,7/26/2017,f,8O9,0C7,8O9
3Z2,6/19/2017,m,0J5,9I2,0J5
3Z3,7/27/2017,m,5M5,0L5,5M5
3Z4,7/4/2017,m,6D4,5J3,6D4
3Z5,11/1/2017,f,1C5,8B5,1C5
3Z6,7/17/2016,m,4M9,6I6,4M9
3Z7,7/19/2017,m,3F7,2D0,3F7
3Z8,7/17/2016,m,6D4,6F1,6D4
3Z9,7/19/2016,m,8A5,2J9,8A5
400,4/10/1970,f,LH,,
401,3/9/1969,f,LI,,
402,3/8/1971,m,102,,
403,3/6/1971,m,131,,
404,3/5/1971,f,062,,
405,3/10/1971,f,U5,,
406,3/22/1971,f,3J,,
407,3/4/1971,m,OT,,
408,2/22/1971,f,ZM,,
409,3/11/1971,m,OS,,
40A,12/1/1992,f,K80,D78,K80
40B,12/24/1992,m,L92,K32,L92
40C,1/3/1994,m,I56,A92,I56
40D,2/8/1995,m,X46,,X46
40E,3/3/1996,m,Z53,T53,Z53
40F,1/29/1996,m,G11,S76,G11
40G,12/25/1996,m,J79,S79,J79
40H,1/16/1997,f,T86,C99,T86
40I,1/14/1998,m,L88,A87,L88
40J,12/13/1997,f,V36,L64,V36
40K,12/21/1998,m,V80,K01,V80
40L,12/26/1999,f,64A,Z06,64A
40N,2/14/2000,m,30D,V92,30D
40O,12/5/2000,m,73B,51A,73B
40P,12/18/2000,m,J41,30C,J41
40R,12/17/2001,f,Z53,79B,Z53
40S,11/15/2001,m,R65,39C,R65
40T,11/9/2002,f,K81,80B,K81
40V,11/10/2003,f,96A,O15,96A
40Z,12/7/2003,f,14E,39C,14E
410,2/22/1971,m,004,,
411,3/9/1971,f,N2,,
412,3/12/1971,m,K,,
413,3/16/1971,m,YB,,
414,4/13/1971,m,WX,,
415,3/12/1971,m,FB,,
416,2/19/1971,f,Z1,,
417,2/27/1971,f,XJ,,
418,2/1/1971,m,LA,,
419,2/3/1971,f,WF,,
41A,3/20/1993,m,S11,D78,S11
41B,1/4/1993,m,J85,J21,J85
41C,12/26/1993,f,K83,E05,K83
41D,1/9/1995,f,I12,N14,I12
41E,2/28/1996,m,C12,I78,C12
41F,12/4/1995,m,S37,D71,S37
41G,2/18/1997,f,53B,,
41H,2/21/1997,m,36B,F27,36B
41I,2/1/1998,f,V76,,
41J,1/21/1998,m,E04,G07,E04
41K,11/9/1998,m,L84,T16,L84
41L,1/20/2000,m,S16,G23,S16
41N,2/4/2000,m,36D,86A,36D
41O,12/8/2000,f,K04,L64,K04
41P,11/27/2000,f,K79,61D,K79
41R,11/1/2001,m,X28,Z71,X28
41S,11/4/2002,f,81E,08A,81E
41T,11/28/2002,m,H02,Z71,H02
41V,10/19/2003,m,13A,33A,13A
41Z,11/29/2003,f,31A,62D,31A
42,1/1/1938,f,?,,
420,2/17/1971,f,031,,
421,4/30/1971,f,XP,,
422,4/4/1971,m,XK,,
423,2/26/1971,m,HJ,,
424,3/20/1971,f,2X,,
425,2/8/1971,f,BY,,
426,3/15/1971,m,UI,,
427,4/26/1971,m,GK,,
428,3/3/1971,f,X5,,
429,3/6/1971,m,JM,,
42A,12/16/1992,f,470,J88,470
42B,1/10/1993,f,R65,G09,R65
42C,12/22/1993,m,L26,D11,L26
42D,2/2/1995,f,J29,I47,J29
